campaign_id,ad_spend_thb,impressions,clicks,conversions_reported,attributed_revenue_thb,attributed_orders,attributed_customers,roas,profit_thb,roi_pct
BACK_TO_SCHOOL_W02,1655506.84,33362581,890696,1221,11386761.5,778,646,6.87811202278089,9731254.66,587.811202278089
RETENTION_WINBACK,19930407.925,400668107,10157201,15128,120097702.67,9699,5594,6.02585271319779,100167294.745,502.5852713197791
NEW_USER_ACQUISITION,21162382.48,423241157,10687780,15328,127201374.41,9673,5583,6.010730338619227,106038991.92999999,501.0730338619227
RETARGETING_ALWAYS_ON,20106291.21,400483575,9987021,15581,120109958.79,9786,5680,5.973750083270579,100003667.58000001,497.37500832705786
BACK_TO_SCHOOL_W04,1537325.41,30337194,767629,1103,8950394.8,775,622,5.822056112375064,7413069.390000001,482.2056112375064
LOYALTY_MEMBER_PROGRAM,19412508.96,389810624,9643199,15719,111599628.17,9668,5593,5.74885134116121,92187119.21000001,474.885134116121
BACK_TO_SCHOOL_W05,1738604.12,34920217,924110,1180,9865706.17,753,596,5.674498326853153,8127102.05,467.4498326853153
BACK_TO_SCHOOL_W03,1664662.04,33705462,860110,1163,9085766.78,754,613,5.4580248492961365,7421104.739999999,445.8024849296136
BACK_TO_SCHOOL_W01,1652692.795,31658357,753565,1161,8922021.12,732,603,5.398475232053032,7269328.324999999,439.8475232053032
SUMMER_PROMO_W06,2026127.445,40532275,1089619,982,9456292.21,672,543,4.667175420448441,7430164.765000001,366.7175420448441
BACK_TO_SCHOOL_W08,1813618.52,35586699,900711,1207,8323027.47,728,609,4.589183104504248,6509408.949999999,358.91831045042477
SUMMER_PROMO_W04,2067591.655,41352259,998945,1088,9118058.11,696,586,4.409989800427977,7050466.454999999,340.99898004279765
BACK_TO_SCHOOL_W07,1712743.43,33521475,792302,1127,7504885.67,697,569,4.381792122828345,5792142.24,338.1792122828345
MEMBER_EXCLUSIVE_W04,2110157.685,42212618,1109135,989,8858849.03,648,537,4.198192908981586,6748691.344999999,319.81929089815856
SUMMER_PROMO_W05,2098689.375,42161189,974626,1175,8716445.9,738,603,4.153280615908202,6617756.525,315.32806159082025
SUMMER_PROMO_W03,2198754.3,45574831,1132824,1294,9016425.43,789,641,4.1006971220022175,6817671.13,310.0697122002218
SUMMER_PROMO_W02,2064746.6,40837201,1030239,1249,8206471.13,790,643,3.974565755429746,6141724.529999999,297.4565755429746
FLASH_SALE_W05,872549.74,18540094,433850,363,3417055.15,221,187,3.916172331906259,2544505.41,291.61723319062594
SUMMER_PROMO_W08,2089052.51,41352831,1066169,1208,8048052.350000001,756,616,3.8524892560024737,5958999.840000001,285.2489256002474
MEMBER_EXCLUSIVE_W05,2148249.045,43679263,1157815,1006,8132287.71,630,530,3.7855423368755647,5984038.665,278.55423368755646
SUMMER_PROMO_W01,2098663.67,42398275,970854,1170,7774100.9,715,581,3.704310038396958,5675437.23,270.4310038396958
MEMBER_EXCLUSIVE_W03,2107519.42,42892258,1092256,1042,7786354.36,668,532,3.6945587718475212,5678834.94,269.4558771847521
MEMBER_EXCLUSIVE_W02,2157799.575,44020417,1143805,1063,7969750.0,660,539,3.6934616598948953,5811950.425,269.3461659894895
SUMMER_PROMO_W07,2254313.935,47148421,1208999,1303,8239022.91,752,593,3.6547806328491688,5984708.975,265.47806328491686
MEMBER_EXCLUSIVE_W06,2068678.21,41997117,1051246,851,7132447.32,542,463,3.447828321254469,5063769.11,244.7828321254469
FLASH_SALE_W03,936250.15,19904679,621609,278,3132327.94,167,140,3.345610080810134,2196077.79,234.5610080810134
FLASH_SALE_W08,841918.86,15174947,332830,358,2793098.82,193,159,3.317539198492358,1951179.96,231.7539198492358
BACK_TO_SCHOOL_W06,1810239.77,36575118,916882,1189,5963294.89,703,576,3.294201679151044,4153055.1199999996,229.4201679151044
MEMBER_EXCLUSIVE_W08,2148765.73,43527734,1139755,1024,6264976.11,642,524,2.915616170963412,4116210.3800000004,191.5616170963412
FLASH_SALE_W11,788523.86,13934826,315706,276,2217043.29,182,151,2.8116375451213362,1428519.4300000002,181.16375451213364
FLASH_SALE_W04,816759.36,16589683,443276,288,2223089.37,171,144,2.7218413144356255,1406330.0100000002,172.18413144356253
MEMBER_EXCLUSIVE_W01,2129633.09,42553130,1036607,893,5699456.49,566,470,2.6762621771621706,3569823.4000000004,167.62621771621704
FLASH_SALE_W09,883100.18,18489794,519029,295,2241100.88,163,137,2.5377651717837946,1358000.6999999997,153.77651717837944
MEMBER_EXCLUSIVE_W07,2169609.05,43983002,1048929,962,5485886.66,578,475,2.5285139089920374,3316277.6100000003,152.85139089920375
FLASH_SALE_W10,861474.76,18144940,446004,248,2142153.25,155,136,2.4866117377600245,1280678.49,148.66117377600244
FLASH_SALE_W06,919472.75,17643992,421689,252,2064779.95,155,128,2.245612988530655,1145307.2,124.56129885306551
FLASH_SALE_W02,934672.72,18136289,524948,386,1818843.02,218,178,1.9459678035751382,884170.3,94.59678035751381
FLASH_SALE_W01,928737.99,18212719,401074,276,1689424.36,158,134,1.8190537893254481,760686.3700000001,81.90537893254482
FLASH_SALE_W07,853336.8,16088980,350943,274,1260236.23,177,141,1.4768333323958371,406899.42999999993,47.6833332395837
FLASH_SALE_W12,895288.29,18090834,429225,268,1135404.01,150,130,1.268199330519558,240115.71999999997,26.819933051955807
