transaction_id,customer_ref,product_sku,product_category,qty,unit_price,currency,discount_pct,payment_method,transaction_datetime,store_channel,campaign_code,is_return,net_amount_thb,customer_segment,region,source_system,campaign_id
bf50b14a-5f7a-4099-b5f0-12b181358ca7,C-00482,SKU-1033,Fashion,5,1912.49,THB,20.0,PromptPay,2024-08-12 11:15:11,,,False,7649.96,New,Chiang Mai,CRM_V2,
5ca1134c-d065-4a82-ae64-aa9c76ea916d,C-00586,SKU-1198,Fashion,5,1616.38,THB,15.0,Cash,2024-06-26 22:37:06,Online,NUA24,False,6869.62,New,Phuket,CRM_V2,NEW_USER_ACQUISITION_Q3
8da1ca81-532a-4371-821b-69c9e1e9f2e2,C-00280,SKU-1100,Home & Living,3,715.17,THB,0.0,Credit Card,2024-08-24 12:26:24,Online,,False,2145.51,Regular,Chonburi,CRM_V2,
2df4656e-8156-486c-b5c8-0cc12e3611bc,C-00306,SKU-1165,Sports,2,4960.37,THB,0.0,Credit Card,2024-07-01 19:35:56,Online,,False,9920.74,VIP,Chonburi,CRM_V2,
935c945f-da16-430b-a379-e83ede5bc435,C-00405,SKU_1090,Home & Living,4,3358.63,THB,5.0,LINE Pay,2024-06-11 09:40:23,Central World,,False,12762.79,,Chonburi,CRM_V2,
bd1dde38-896a-4f92-8801-73d53deb542b,,SKU_1002,Electronics,2,2036.36,THB,0.0,PromptPay,2024-06-07 21:08:48,Central World,SP24,False,4072.72,,,,SUMMER_PROMO_2024_TH
bb346b50-cae0-4446-ba8e-52ad89bb500b,C-00341,SKU-1008,Sports,1,4284.82,THB,0.0,PromptPay,2024-07-16 20:45:17,Icon Siam,,False,4284.82,,Bangkok,CRM_V2,
fd4c42ca-b8a6-480c-84a4-0ae3409e3817,C-00410,SKU-1170,Home & Living,2,1488.08,THB,0.0,Credit Card,2024-07-24 15:57:38,Icon Siam,,False,2976.16,Regular,Phuket,CRM_V2,
89c041fc-a993-4556-abf5-bdb41b8e399c,C-00097,1057,Home & Living,3,4084.99,THB,15.0,Cash,2024-06-18 16:14:11,EmQuartier,,False,10416.72,,Phuket,CRM_V2,
aae5773f-e9be-4d28-a427-a4c9b9be2361,,SKU_1175,Home & Living,1,2823.28,THB,10.0,Credit Card,2024-08-27 13:24:29,Central World,,False,2540.95,,,,
38cf1ae1-4c77-427b-af5f-117a54fca13f,C-00651,SKU-1016,Sports,5,3823.96,THB,0.0,PromptPay,2024-08-10 18:12:16,EmQuartier,MEA24,False,19119.8,VIP,Phuket,CRM_V2,MEMBER_EXCLUSIVE_AUG_2024
826874dc-b052-4111-9970-cdc52188e433,,SKU-1025,Home & Living,1,3630.09,THB,0.0,PromptPay,2024-08-01 18:03:42,Online,NUA24,False,3630.09,,,,NEW_USER_ACQUISITION_Q3
