short_code,campaign_id
NUA,NEW_USER_ACQUISITION
LMP,LOYALTY_MEMBER_PROGRAM
RAO,RETARGETING_ALWAYS_ON
RW,RETENTION_WINBACK
SP01,SUMMER_PROMO_W01
SP02,SUMMER_PROMO_W02
SP03,SUMMER_PROMO_W03
SP04,SUMMER_PROMO_W04
SP05,SUMMER_PROMO_W05
SP06,SUMMER_PROMO_W06
SP07,SUMMER_PROMO_W07
SP08,SUMMER_PROMO_W08
BTS01,BACK_TO_SCHOOL_W01
BTS02,BACK_TO_SCHOOL_W02
BTS03,BACK_TO_SCHOOL_W03
BTS04,BACK_TO_SCHOOL_W04
BTS05,BACK_TO_SCHOOL_W05
BTS06,BACK_TO_SCHOOL_W06
BTS07,BACK_TO_SCHOOL_W07
BTS08,BACK_TO_SCHOOL_W08
FS01,FLASH_SALE_W01
FS02,FLASH_SALE_W02
FS03,FLASH_SALE_W03
FS04,FLASH_SALE_W04
FS05,FLASH_SALE_W05
FS06,FLASH_SALE_W06
FS07,FLASH_SALE_W07
FS08,FLASH_SALE_W08
FS09,FLASH_SALE_W09
FS10,FLASH_SALE_W10
FS11,FLASH_SALE_W11
FS12,FLASH_SALE_W12
ME01,MEMBER_EXCLUSIVE_W01
ME02,MEMBER_EXCLUSIVE_W02
ME03,MEMBER_EXCLUSIVE_W03
ME04,MEMBER_EXCLUSIVE_W04
ME05,MEMBER_EXCLUSIVE_W05
ME06,MEMBER_EXCLUSIVE_W06
ME07,MEMBER_EXCLUSIVE_W07
ME08,MEMBER_EXCLUSIVE_W08
